iter	Passed	Remaining
0	60	60696
1	61	30458
2	61	20370
3	61	15325
4	61	12303
5	62	10287
6	62	8845
7	62	7763
8	62	6922
9	63	6250
10	63	5701
11	63	5243
12	63	4854
13	64	4521
14	64	4233
15	64	3981
16	64	3757
17	65	3560
18	65	3382
19	65	3223
20	66	3079
21	66	2947
22	66	2826
23	66	2715
24	67	2613
25	67	2521
26	67	2433
27	67	2352
28	68	2277
29	68	2207
30	68	2143
31	68	2081
32	69	2023
33	69	1970
34	69	1918
35	69	1871
36	70	1825
37	70	1782
38	70	1741
39	70	1703
40	71	1666
41	71	1630
42	71	1595
43	71	1563
44	72	1532
45	72	1502
46	72	1474
47	72	1447
48	73	1420
49	73	1396
50	73	1372
51	73	1348
52	74	1326
53	74	1304
54	74	1283
55	74	1263
56	75	1244
57	75	1225
58	75	1207
59	75	1189
60	76	1173
61	76	1156
62	76	1140
63	76	1125
64	77	1110
65	77	1095
66	77	1081
67	77	1068
68	78	1054
69	78	1041
70	78	1029
71	78	1016
72	79	1004
73	79	993
74	79	981
75	79	970
76	80	959
77	80	949
78	80	938
79	80	928
80	81	919
81	81	909
82	81	898
83	81	889
84	81	880
85	82	871
86	82	863
87	82	855
88	82	847
89	82	839
90	83	831
91	83	823
92	83	816
93	83	809
94	84	802
95	84	795
96	84	788
97	84	781
98	85	775
99	85	768
100	85	762
101	85	756
102	86	750
103	86	744
104	86	738
105	86	733
106	87	727
107	87	722
108	87	716
109	87	711
110	88	706
111	88	701
112	88	696
113	88	691
114	89	686
115	89	682
116	89	676
117	89	672
118	90	667
119	90	663
120	90	659
121	90	654
122	91	650
123	91	646
124	91	642
125	91	637
126	92	633
127	92	629
128	92	625
129	92	621
130	93	618
131	93	614
132	93	610
133	93	606
134	94	603
135	94	599
136	94	595
137	94	592
138	95	588
139	95	584
140	95	581
141	95	577
142	95	574
143	96	571
144	96	567
145	96	564
146	96	561
147	97	558
148	97	555
149	97	552
150	97	549
151	98	547
152	98	544
153	98	541
154	98	539
155	99	536
156	99	533
157	99	531
158	99	528
159	100	525
160	100	522
161	100	520
162	100	517
163	101	515
164	101	512
165	101	510
166	101	508
167	102	505
168	102	503
169	102	501
170	102	498
171	103	496
172	103	494
173	103	492
174	103	489
175	104	487
176	104	485
177	104	483
178	105	481
179	105	479
180	105	477
181	105	475
182	106	473
183	106	471
184	106	469
185	106	467
186	107	465
187	107	463
188	107	461
189	107	459
190	108	457
191	108	455
192	108	454
193	108	452
194	109	450
195	109	448
196	109	446
197	109	445
198	110	443
199	110	441
200	110	439
201	110	437
202	111	436
203	111	435
204	111	433
205	112	432
206	112	430
207	112	429
208	112	427
209	113	425
210	113	424
211	113	422
212	114	421
213	114	419
214	114	418
215	114	416
216	115	415
217	115	413
218	115	411
219	115	410
220	115	408
221	116	407
222	116	405
223	116	404
224	116	402
225	117	401
226	117	400
227	117	398
228	117	397
229	118	395
230	118	394
231	118	393
232	119	391
233	119	390
234	119	388
235	119	387
236	120	386
237	120	384
238	120	383
239	120	382
240	120	381
241	121	379
242	121	378
243	121	377
244	122	376
245	122	374
246	122	373
247	122	372
248	122	370
249	123	369
250	123	368
251	123	367
252	123	365
253	124	364
254	124	363
255	124	362
256	124	360
257	125	359
258	125	358
259	125	357
260	125	355
261	125	354
262	126	353
263	126	352
264	126	351
265	126	350
266	127	348
267	127	347
268	127	346
269	127	345
270	127	344
271	128	343
272	128	341
273	128	340
274	128	339
275	129	338
276	129	337
277	129	336
278	129	335
279	130	334
280	130	333
281	130	332
282	130	331
283	130	330
284	131	329
285	131	328
286	131	327
287	131	326
288	132	324
289	132	323
290	132	322
291	132	321
292	133	320
293	133	319
294	133	319
295	133	318
296	134	317
297	134	316
298	134	315
299	134	314
300	135	313
301	135	312
302	135	311
303	135	310
304	136	309
305	136	309
306	136	308
307	136	307
308	136	306
309	137	305
310	137	304
311	137	303
312	137	302
313	138	301
314	138	300
315	138	299
316	138	299
317	139	298
318	139	297
319	139	296
320	139	295
321	139	294
322	140	293
323	140	292
324	140	292
325	140	291
326	141	290
327	141	289
328	141	288
329	141	287
330	141	286
331	142	286
332	142	285
333	142	284
334	142	283
335	143	282
336	143	281
337	143	281
338	143	280
339	143	279
340	144	278
341	144	277
342	144	277
343	144	276
344	145	275
345	145	274
346	145	274
347	145	273
348	146	272
349	146	271
350	146	271
351	146	270
352	147	269
353	147	268
354	147	268
355	147	267
356	148	266
357	148	265
358	148	265
359	148	264
360	149	263
361	149	263
362	149	262
363	149	261
364	150	261
365	150	260
366	150	259
367	150	258
368	151	258
369	151	257
370	151	256
371	151	256
372	152	255
373	152	254
374	152	254
375	152	253
376	153	252
377	153	252
378	153	252
379	154	251
380	154	251
381	154	250
382	155	249
383	155	249
384	155	248
385	156	248
386	156	247
387	156	247
388	157	247
389	157	246
390	157	245
391	158	245
392	158	244
393	158	244
394	158	243
395	159	242
396	159	242
397	159	241
398	159	240
399	160	240
400	160	239
401	160	239
402	160	238
403	161	237
404	161	237
405	161	236
406	161	235
407	162	235
408	162	234
409	162	233
410	162	233
411	163	232
412	163	232
413	163	231
414	163	230
415	164	230
416	164	229
417	164	229
418	164	228
419	165	227
420	165	227
421	165	226
422	165	226
423	166	225
424	166	225
425	166	224
426	167	225
427	167	224
428	168	223
429	168	223
430	168	222
431	169	222
432	169	221
433	169	221
434	169	220
435	170	220
436	170	220
437	171	219
438	171	219
439	172	218
440	172	218
441	172	218
442	173	217
443	173	217
444	173	216
445	173	216
446	174	215
447	174	214
448	174	214
449	175	213
450	175	213
451	175	212
452	175	212
453	176	211
454	176	211
455	176	210
456	176	210
457	177	209
458	177	208
459	177	208
460	177	207
461	178	207
462	178	206
463	178	206
464	178	205
465	179	205
466	179	204
467	179	204
468	179	203
469	180	202
470	180	202
471	180	201
472	180	201
473	180	200
474	181	200
475	181	199
476	181	199
477	182	198
478	182	198
479	182	197
480	182	197
481	183	196
482	183	196
483	183	195
484	183	195
485	184	194
486	184	194
487	184	193
488	184	193
489	185	192
490	185	192
491	185	191
492	185	191
493	186	190
494	186	190
495	186	189
496	186	189
497	187	188
498	187	188
499	187	187
500	187	187
501	188	186
502	188	186
503	188	185
504	188	185
505	189	184
506	189	184
507	189	183
508	189	183
509	190	182
510	190	182
511	190	181
512	190	181
513	191	180
